Time (s),Activity (count/s),u(Activity) (counts/s)
0,20.78,1.44
15,20.28,1.42
30,16.53,1.29
45,17.61,1.33
60,13.42,1.16
75,11.99,1.09
90,11.21,1.06
105,13.65,1.17
120,12.59,1.12
135,11.02,1.05
150,10.25,1.01
165,9.53,0.98
180,8.87,0.94
195,9.2,0.96
210,6.4,0.84
225,7.8,0.92
240,6.6,0.85
255,6.2,0.83
270,5.6,0.79
285,4.8,0.74
300,3.8,0.67
315,4.8,0.74
330,4.2,0.7
345,4.3,0.7
360,4.3,0.7
375,3.9,0.67
390,2.7,0.58
405,2.7,0.58
420,2.4,0.55
435,1.7,0.48
450,2.4,0.55
465,1.3,0.44
480,1.4,0.45
495,1.3,0.44
510,1.4,0.45
