Time (s),Counts (counts/10s),u(counts)
0,132.3,3.637306696
15,86,2.93257566
30,62.1,2.491987159
45,42.8,2.068816087
60,34.1,1.846618531
75,25.7,1.603121954
90,20.9,1.445683229
105,17.3,1.315294644
120,17.6,1.326649916
135,13.5,1.161895004
150,12.5,1.118033989
165,9,0.948683298
180,11.7,1.081665383
195,9.8,0.989949494
210,7,0.836660027
225,8.4,0.916515139
240,7.2,0.848528137
255,6.8,0.824621125
270,6.2,0.787400787
285,5.4,0.734846923
300,4.4,0.663324958
315,5.4,0.734846923
330,4.8,0.692820323
345,4.9,0.7
360,4.9,0.7
375,4.5,0.670820393
390,3.3,0.574456265
405,3.3,0.574456265
420,3,0.547722558
435,2.3,0.479583152
450,3,0.547722558
465,1.9,0.435889894
480,2,0.447213595
495,1.9,0.435889894
510,2,0.447213595
525,1.5,0.387298335
540,2,0.447213595
555,0.9,0.3
570,1.8,0.424264069
585,0.9,0.3
600,1.7,0.412310563
615,0.6,0.244948974
630,1.6,0.4
645,1.2,0.346410162
660,1.1,0.331662479
